e6094037-e48e-4f1d-9004-903ae7dd12ef	why	deda1aa6-17d4-4fb7-8ae0-05584716054f		f
06329975-432a-4de1-a565-8843bbe0a195	oh okay god damn	4916a9ec-53c0-4fe9-9dc5-f522eb2fd649		t
06581b54-a7c4-434e-848f-d1ba899eb4f3	wow	bf836b9d-4aae-4c67-bdce-2800021a675f		t
1badc850-21a3-4caa-9e97-42c538e17b18	how dare you	b1ac1b70-f4a2-4cee-b387-99a13bddb103		t
28b2c7d7-1c63-4136-a254-0a821cf7960a	sheesh	6739b9ed-5bc6-4b29-8d6f-6fa4d6969ecc		t
405b485e-576d-4cff-969b-05e0551c6a7c	careless whisper	888419cb-fd3e-444b-9bf0-d0ec388e08c7		t
40bfc625-967f-48d6-aa9d-726eee58b5ee	fail	565798f1-2453-4352-8287-654d4fcdb78c		t
41032c7b-8d08-43f9-be88-d53d883c3c17	stop it	a767be8f-42c1-410e-9c65-8385d2daa3e9		t
76f54058-729f-4ba9-b45a-60f1547cf890	surprise motherfucker	d99d52c3-55ba-4a23-967e-0ece62e13a08		t
8890cf4a-1062-4368-bbfb-f30880cef1ec	nice	9b360353-4d55-4de6-80c0-cd8f16f73d18		t
8b5bdf01-bc7e-4971-99c4-fc506fb73b09	bonk	2028151b-2d7c-411d-aa43-40446bce60eb		t
8b7266d0-e632-4ef4-8f72-ecd486464d7e	bruh	b8585fd5-8bd0-4b93-825b-134b6de67410		t
8ebcd03c-c25b-4b31-b7a6-646f0309a123	nani	74b889bc-cc83-4bf6-9b93-4c24d7840582		t
92c0c746-c5fe-4c75-bd40-15e6d4a93a83	hello there	bd94e74f-ee30-4e32-8335-97c21cb1f10a		t
a5c5338c-d1e7-4a11-9dd4-a4b269c181ce	omg	88d64419-ad0f-4c60-a34f-b831af0b6547		t
b246b4a0-2969-49ff-9de4-5f408053eaee	we'll be right back	12289116-24ba-4beb-8f65-ee3b7ff71872		t
c2241fd6-6ec3-4b38-ac43-5fa6a6786ec8	going home	e1330142-f148-434f-b34b-0e57f870f09a		t
c55a565f-38f3-4941-b01a-e789c5bfab35	victory royale	0fa7f86e-0c4c-4554-9416-3cc5972c0257		t
d4fea5e7-39c5-4401-a8c5-fc845689ff9f	you're trash kid	c4bb3558-bda8-47ab-b397-895ef8bb2b18		t
